,valid_accuracy,valid_precision,valid_recall,valid_f1
24852,0.6767000638063844,0.2960021942742033,0.669970892955281,0.4105970591445635
13176,0.709258426120589,0.2684146217289482,0.6674853771554453,0.38286747565412527
21137,0.7392901924626356,0.20815209891949293,0.6295019504672049,0.31285505599740304
21903,0.7250731720668308,0.18274736140173378,0.6314932162650722,0.28346344355920944
47209,0.7411975414869796,0.18249884400602304,0.6968873797396717,0.289249792117861
47766,0.7266024725401612,0.14510971823019472,0.6823720993350523,0.2393256769169994
47626,0.7617011158419449,0.13923326083003926,0.6429504322408109,0.2288978561583553
16797,0.7404311806233866,0.11524130701122857,0.6105256114289538,0.19388530294578585
26209,0.8023336372547175,0.1528761917031693,0.6472794217918997,0.24733592141945238
27845,0.7287048330342587,0.10290300316991088,0.5898540069320449,0.17523532164959177
27966,0.732812048287577,0.11542261582023014,0.6717506398793871,0.19699657088802175
22935,0.8062184710074395,0.13108432546207985,0.6771864248396551,0.21965047152589776
24964,0.8150589909696004,0.13578855708651336,0.6980295782683109,0.22735036626764338
45007,0.7747617524346497,0.10310895813751716,0.6517228772507083,0.17804884139033156
39275,0.7506213852314735,0.0830398256999071,0.5915258271840038,0.1456350508697079
49683,0.7610425244747948,0.09152373545103497,0.6725659280056152,0.16112178717271197
28204,0.7430621248381319,0.07144764174594802,0.5905910216384972,0.12747393185976938
5876,0.7712395715905922,0.0886708982496634,0.682027397260274,0.15693814894435235
40706,0.741170171456137,0.074479123565322,0.6641689373297003,0.13393853709353373
8277,0.7201961746960643,0.06903101735508914,0.670448034834422,0.12517382281838993
4920,0.7217186326616842,0.06093729229356246,0.5812680115273775,0.11031020301015051
30391,0.7766588376974277,0.08575910118917342,0.6914299158873007,0.15259198681127534
45066,0.7297705536101926,0.06538842446498982,0.6379020643302928,0.11861787302419782
42265,0.7486644280262273,0.06519990694273654,0.6092925026399155,0.11779469689691612
44632,0.8972084279167472,0.12710507240269045,0.4757397943087892,0.200611946255155
49235,0.7455699039140855,0.05018137029317019,0.4692740965761661,0.09066731880292239
19057,0.728992218358106,0.062295805468888875,0.6510153097175069,0.11371061582527747
4605,0.7877984402503674,0.07972802586693689,0.6698947094761472,0.14249669922509559
21616,0.7261354713889093,0.057048907795176455,0.6161056105610561,0.10442818464567812
37646,0.7332790494388288,0.06120540806722061,0.648932654814619,0.11186046776563871
17794,0.7919005236229025,0.07712263776716437,0.6460424004785007,0.1377956383378339
27104,0.7705707164618761,0.06929649075926421,0.6462585034013606,0.12517122170765116
30489,0.7689473315075241,0.06596056516999141,0.615882432250236,0.11915925942833294
31717,0.8250969497811252,0.09339012462533523,0.6888432580424367,0.16448072695774396
27086,0.7465175912320107,0.04958644314182073,0.5142378559463987,0.09045096582922593
46979,0.7421811519703856,0.05620659157714018,0.6073787772312017,0.1028916322424733
8518,0.7877984402503674,0.07554501490969208,0.6905585763717251,0.13619113274422556
44359,0.8056813341521534,0.08162114863614182,0.6859223644205614,0.14588298984187614
28985,0.7532933844924826,0.06070298319129267,0.6418836960399572,0.11091657830493429
41950,0.7520839712546251,0.05893120557865093,0.6576131687242799,0.10816897941601797
26604,0.75660344759751,0.056022678133858646,0.6318315528719616,0.10291975865177891
5077,0.7097972736028026,0.042140007931139055,0.5724471203358948,0.07850124118001729
34126,0.8227876034287807,0.08135415420573648,0.701443986036179,0.14579846137354982
22035,0.774065527275091,0.060708337307672555,0.6708286038592508,0.11134062237174097
39877,0.7421058843855685,0.050195783034734445,0.632414300908124,0.09300926482974371
43352,0.8568171049007751,0.08411062780581982,0.5935653315824031,0.14734225699325634
35951,0.7057311133957485,0.04239973460843305,0.6170301315132346,0.07934706984211935
10749,0.8141061717708923,0.0728233402251321,0.6882097528390113,0.1317097336081947
19660,0.5155675603551946,0.03012431818811086,0.7463556851311953,0.05791123028097325
9076,0.7638034763360424,0.048473506007400316,0.5822893427149477,0.08949672926777802
24184,0.8082541170513582,0.06617837585724404,0.6584171178138696,0.12026841423694228
21938,0.8175103193569411,0.06974323700572897,0.6642530816308939,0.1262326769976739
43961,0.7384656702835022,0.046544908488846674,0.6270966626318519,0.08665782525060636
34969,0.7665627175703623,0.05076969470691289,0.6241504104510548,0.09390126489824376
48679,0.7671648582488997,0.05345934379457917,0.6875516007705715,0.0992051674045837
46667,0.8076742145228805,0.06277914992125713,0.674276735372955,0.11486380097622421
12341,0.7986746062564469,0.054613748171785666,0.6259643775597676,0.10046241449153515
25890,0.7806360453042436,0.049232912787849095,0.613996562917701,0.09115650115522544
31506,0.7332910238273225,0.0328562802708154,0.48877209746774963,0.0615734638233329
5450,0.7126557311989271,0.042042845100717964,0.6937170263788969,0.0792808594606446
39928,0.7615745294492978,0.049186630967444266,0.6762783544790465,0.09170354054388698
24838,0.6894134431327738,0.0338881538469915,0.601468882875918,0.06416131044116055
22825,0.7666824614552987,0.04964786973677639,0.6847077346978941,0.09258261315024384
5785,0.7888761352147948,0.04640460210930009,0.5881518987341772,0.08602214240752397
35221,0.9200966162088744,0.10693346928371145,0.5188620902906618,0.17732220226143933
28842,0.8458451437867464,0.06821687159933165,0.671127502634352,0.1238454508332199
33731,0.7698881763177386,0.04395932796384708,0.6425527381206052,0.08228897333215082
8424,0.773660108693235,0.04321897664219517,0.6485825458588105,0.0810379075162173
27521,0.7817308465379477,0.0460077151517007,0.6704215926834709,0.08610637596871464
33198,0.7204185561966605,0.02652822301360123,0.4837375656644685,0.05029809290271596
8174,0.7328821839916111,0.03773205717587359,0.6720357941834452,0.07145235716664289
44142,0.8008180217968083,0.049074609843434217,0.6578976953344575,0.09133617393204413
20114,0.8285746543250636,0.05909617612977984,0.6882591093117408,0.10884644114822324
27344,0.7932313913726241,0.039326442311639474,0.5536292186777624,0.07343641004806328
11520,0.6875026728545744,0.029810385867189145,0.6532229450029569,0.05701867586178417
29487,0.8071251032791008,0.04417625056804279,0.5994308075418001,0.08228811421036782
18465,0.716155673892925,0.032500207688016994,0.654986845252332,0.06192759096356934
28199,0.7115267174266697,0.02827275026913823,0.5817697615300811,0.05392486872222971
15290,0.8490782286800289,0.058000795439480314,0.6394640682095006,0.1063549622186658
46906,0.7316111881843577,0.03284627991234294,0.6458024691358024,0.06251307086049583
9839,0.7691936617851076,0.03918975864223543,0.6679876160990712,0.07403594737600626
27156,0.818134698185538,0.04609196250645804,0.6312065698041693,0.08591056428245936
3957,0.722845935807014,0.027069311425924447,0.5617519735166794,0.05164976030624609
43122,0.76251708488644,0.03828516282641007,0.702468657102236,0.0726128605592593
23909,0.5933377923675248,0.027176929623675586,0.85555267926482,0.05268044646877628
34358,0.8309421619929488,0.049516991803197644,0.6497988841313092,0.09202160890816213
4799,0.7577170657274185,0.03281864043033529,0.6248341735208278,0.06236180438783481
9387,0.7427901351566335,0.028585760581879623,0.5764674564088913,0.054470450629472644
16759,0.8026483926094075,0.04180261011419249,0.6549520766773163,0.07858922752539774
196,0.6827266024725401,0.03605979733956049,0.9273458445040215,0.06942019387079296
42736,0.780324711203409,0.032725222441917945,0.5710242587601078,0.06190281389708677
4210,0.5581194051808047,0.022439106089961972,0.7972680551798755,0.04364969178652746
38689,0.720350131119554,0.028808074954119578,0.6471385950637375,0.055160615413068846
41787,0.7410418744365622,0.031244305609787842,0.6555161114145276,0.05964567907369676
47144,0.686389054724666,0.022020788666648573,0.5626907073509015,0.04238292982318682
41220,0.7716638070686526,0.03350007019203062,0.6291978906466833,0.06361321370195512
7781,0.7927472839520956,0.035696256127151625,0.6165963431786217,0.06748560697022873
33000,0.7718571079114784,0.024302599760439345,0.45584287127313833,0.046145043627521094
20995,0.7495915878210205,0.026605417435674735,0.5724087591240876,0.05084745762711865
21709,0.9324456319996716,0.09177523819050239,0.5363928675825782,0.15673378744848498
